City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Junction City,US,39.03,-96.83,87.8,38,1,5.82,clear sky
204,Sumenep,ID,-7.02,113.87,78.71,79,9,11.68,clear sky
205,Utmanzai,PK,34.19,71.76,78.8,78,75,4.7,haze
206,Olafsvik,IS,64.89,-23.71,49.44,76,0,18.72,clear sky
207,Luderitz,NA,-26.65,15.16,59.0,35,0,14.88,clear sky
208,Marrakesh,MA,31.63,-8.01,84.2,35,0,6.93,clear sky
209,Dickinson,US,29.46,-95.05,91.99,43,40,6.93,scattered clouds
210,Minbu,MM,20.18,94.88,74.88,91,100,7.99,overcast clouds
211,Kavaratti,IN,10.57,72.64,82.27,80,100,14.29,overcast clouds
212,Merauke,ID,-8.47,140.33,75.6,73,2,9.64,clear sky
213,Pirai Do Sul,BR,-24.53,-49.95,54.0,92,100,2.26,light rain
214,Darhan,MN,49.49,105.92,60.17,79,99,3.06,overcast clouds
215,Icod De Los Vinos,ES,28.37,-16.71,73.99,64,0,3.0,clear sky
216,Ilulissat,GL,69.22,-51.1,46.4,61,6,3.36,clear sky
217,Longyearbyen,SJ,78.22,15.64,41.0,86,75,6.93,light rain
218,Salo,IT,45.61,10.53,77.0,73,0,6.93,clear sky
219,San Cristobal,VE,7.77,-72.22,87.8,55,40,9.17,scattered clouds
220,Marsh Harbour,BS,26.54,-77.06,84.13,76,84,14.25,broken clouds
221,Coquimbo,CL,-29.95,-71.34,50.0,87,0,8.05,clear sky
222,Tongren,CN,27.72,109.19,73.92,91,97,1.9,light rain
223,Celestun,MX,20.87,-90.4,82.31,81,91,8.68,moderate rain
224,Wattegama,LK,6.8,81.48,74.75,83,95,5.39,overcast clouds
225,Osoyoos,CA,49.03,-119.45,82.0,54,67,1.95,broken clouds
226,Houma,US,29.6,-90.72,87.01,66,1,8.05,clear sky
227,Haapiti,PF,-17.57,-149.87,80.6,69,75,4.7,broken clouds
228,Port Hardy,CA,50.7,-127.42,62.6,93,90,9.17,moderate rain
229,Ust-Ishim,RU,57.69,71.17,49.89,98,99,5.75,overcast clouds
230,Mount Isa,AU,-20.73,139.5,64.4,27,1,5.82,clear sky
231,Muros,ES,42.78,-9.06,66.99,80,41,13.0,light rain
232,Kununurra,AU,-15.77,128.73,71.6,22,23,3.36,few clouds
233,Victoria,HK,22.29,114.16,82.99,83,81,4.0,broken clouds
234,Barabai,ID,-2.58,115.38,74.17,87,38,1.59,scattered clouds
235,Ixtapa,MX,20.7,-105.2,89.01,70,75,8.05,broken clouds
236,Tromso,NO,69.65,18.96,46.4,81,75,8.05,broken clouds
237,Santa Maria,BR,-29.68,-53.81,46.4,45,20,3.36,few clouds
238,Port Alfred,ZA,-33.59,26.89,59.22,77,100,10.6,overcast clouds
239,Bolshevik,BY,54.01,27.57,62.6,93,51,4.47,broken clouds
240,Sitka,US,57.05,-135.33,69.8,52,75,10.29,broken clouds
241,Atherton,GB,53.52,-2.49,64.0,65,96,8.01,overcast clouds
242,Jaca,ES,42.57,-0.55,77.0,38,0,4.0,clear sky
243,Teya,RU,60.38,92.63,51.21,92,28,5.1,scattered clouds
244,Maicao,CO,11.38,-72.24,84.61,70,29,6.4,moderate rain
245,Alice Springs,AU,-23.7,133.88,51.8,37,0,4.7,clear sky
246,Cortland,US,42.6,-76.08,72.0,37,1,4.7,clear sky
247,Poptun,GT,16.33,-89.42,77.99,89,76,5.03,light rain
248,Karachi,PK,24.91,67.08,86.0,79,40,9.17,scattered clouds
249,Grand-Santi,GF,4.25,-54.38,82.81,64,63,1.9,broken clouds
250,Leningradskiy,RU,69.38,178.42,46.94,80,90,7.23,overcast clouds
251,Xuddur,SO,4.12,43.89,71.22,72,94,14.45,overcast clouds
252,Yate,GB,51.54,-2.42,63.0,84,54,4.0,broken clouds
253,Bereda,ES,43.27,-7.54,61.0,79,63,7.0,broken clouds
254,Smidovich,RU,48.6,133.82,60.13,77,0,7.25,clear sky
255,Logan,US,41.74,-111.83,93.0,18,1,9.17,clear sky
256,Turukhansk,RU,65.82,87.98,54.59,94,83,6.08,light rain
257,Grindavik,IS,63.84,-22.43,51.8,71,75,10.29,broken clouds
258,Surab,PK,28.49,66.26,73.0,66,27,7.63,scattered clouds
259,Synya,RU,65.37,58.04,50.59,95,9,7.02,clear sky
260,Chilca,PE,-12.52,-76.74,62.6,77,90,9.17,overcast clouds
261,Sao Felix Do Xingu,BR,-6.64,-51.99,81.9,30,15,1.45,few clouds
262,Saint-Augustin,CA,51.23,-58.65,60.75,79,86,13.15,overcast clouds
263,Kumbo,CM,6.2,10.67,59.4,98,100,0.43,light rain
264,Pundaguitan,PH,6.37,126.17,82.44,77,1,7.05,clear sky
265,Batagay-Alyta,RU,67.8,130.41,39.36,71,61,3.22,broken clouds
266,Sao Joao Da Barra,BR,-21.64,-41.05,72.27,78,78,20.38,broken clouds
267,Kananga,CD,-5.9,22.42,73.09,78,88,3.18,light rain
268,Cap Malheureux,MU,-19.98,57.61,70.0,59,0,3.0,clear sky
269,Benguela,AO,-12.58,13.41,68.9,87,80,3.89,broken clouds
270,Kaihua,CN,23.37,104.28,64.51,93,94,0.98,overcast clouds
271,San Quintin,MX,30.48,-115.95,79.65,65,35,7.99,light rain
272,Nelson Bay,AU,-32.72,152.15,60.01,58,20,26.4,few clouds
273,Dahra,DZ,36.25,0.85,89.6,46,20,2.3,few clouds
274,Lagoa,PT,39.05,-27.98,70.02,82,37,16.4,scattered clouds
275,Mbandaka,CD,0.05,18.26,71.96,93,100,2.89,moderate rain
276,Koslan,RU,63.46,48.9,52.07,93,87,6.13,overcast clouds
277,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds
278,Tiksi,RU,71.69,128.87,40.01,87,99,8.57,overcast clouds
279,Poum,NC,-20.23,164.02,71.62,65,0,2.08,clear sky
280,Mocuba,MZ,-16.84,36.99,66.67,95,28,0.85,scattered clouds
281,Atbasar,KZ,51.8,68.33,53.1,81,100,13.06,overcast clouds
282,Kisangani,CD,0.52,25.2,70.38,94,99,1.21,overcast clouds
283,Simbahan,PH,6.3,120.58,82.98,74,100,6.42,overcast clouds
284,Touros,BR,-5.2,-35.46,77.0,88,13,8.05,few clouds
285,Espanola,US,35.99,-106.08,90.0,15,1,12.75,clear sky
286,Belsand,IN,26.45,85.4,80.1,78,97,17.45,overcast clouds
287,Torbay,CA,47.67,-52.73,66.99,72,5,16.11,clear sky
288,Ishigaki,JP,24.34,124.16,82.4,94,75,6.93,broken clouds
289,Bandarbeyla,SO,9.49,50.81,76.39,80,38,28.19,scattered clouds
290,Harper,LR,4.38,-7.72,75.02,85,73,11.01,broken clouds
291,Nizwa,OM,22.93,57.53,93.15,35,34,5.08,scattered clouds
292,Mayna,RU,54.11,47.62,46.17,85,1,5.93,clear sky
293,Omboue,GA,-1.57,9.26,72.55,86,100,7.74,overcast clouds
294,Omsukchan,RU,62.53,155.8,45.66,88,100,6.73,moderate rain
295,Porto Santo,PT,33.07,-16.34,73.4,88,40,8.05,scattered clouds
296,Saint-Junien,FR,45.88,0.9,77.0,61,29,6.93,light rain
297,Kuusamo,FI,65.97,29.18,55.4,93,5,3.36,clear sky
298,Kaeo,NZ,-35.1,173.78,64.99,3,0,8.99,clear sky
299,Salalah,OM,17.02,54.09,78.8,94,90,4.94,light intensity drizzle
300,Carmen,MX,18.63,-91.83,86.0,74,75,9.17,broken clouds
301,San Andres,CO,12.58,-81.7,84.2,74,90,4.7,overcast clouds
302,Hithadhoo,MV,-0.6,73.08,82.17,76,63,7.54,light rain
303,Kaspiyskiy,RU,45.39,47.37,72.73,60,15,4.72,few clouds
304,Taywarah,AF,33.35,64.42,44.22,48,0,6.17,clear sky
305,Mahajanga,MG,-15.72,46.32,71.91,73,54,3.0,broken clouds
306,Sainte-Suzanne,RE,-20.91,55.61,66.2,63,75,11.41,broken clouds
307,Kefamenanu,ID,-9.45,124.48,70.07,73,7,2.84,clear sky
308,Suntar,RU,62.14,117.63,49.87,67,41,2.73,scattered clouds
309,Dunedin,NZ,-45.87,170.5,48.99,91,100,3.0,light rain
310,Ahuimanu,US,21.44,-157.84,87.8,66,40,13.87,scattered clouds
311,Adrar,MR,20.5,-10.07,96.48,27,83,5.3,broken clouds
312,Havre-Saint-Pierre,CA,50.23,-63.6,61.02,65,60,9.31,broken clouds
313,Vila,PT,42.03,-8.16,55.99,90,40,4.34,scattered clouds
314,Upernavik,GL,72.79,-56.15,46.36,65,75,3.36,broken clouds
315,Chingirlau,KZ,51.09,54.08,54.37,74,39,4.5,scattered clouds
316,Trinidad,BO,-14.83,-64.9,54.73,59,99,13.89,overcast clouds
317,Tigil,RU,57.8,158.67,51.21,89,100,4.43,moderate rain
318,Shestakovo,RU,56.49,103.96,56.55,75,40,3.76,scattered clouds
319,Genhe,CN,50.78,121.52,54.45,66,18,3.33,few clouds
320,Mount Gambier,AU,-37.83,140.77,42.8,87,75,10.29,light intensity shower rain
321,Faya,SA,18.39,42.45,71.6,43,67,3.67,broken clouds
322,Emerald,AU,-23.53,148.17,64.99,30,0,11.41,clear sky
323,Oktyabrskoye,RU,43.06,44.74,64.0,88,1,4.47,clear sky
324,Boulder,US,40.08,-105.35,91.4,19,1,3.36,clear sky
325,Solvychegodsk,RU,61.33,46.92,45.99,91,7,4.85,clear sky
326,Hambantota,LK,6.12,81.12,79.56,82,99,14.36,overcast clouds
327,Nishihara,JP,26.18,127.76,86.0,79,20,6.93,few clouds
328,Guerrero Negro,MX,27.98,-114.06,86.45,45,1,17.34,light rain
329,Sisimiut,GL,66.94,-53.67,52.05,72,48,7.4,scattered clouds
330,Manta,EC,-0.95,-80.73,73.4,78,40,16.11,scattered clouds
331,Porto Novo,BJ,6.5,2.6,75.2,94,40,9.17,scattered clouds
332,Hovd,MN,48.01,91.64,54.27,82,0,0.67,clear sky
333,Athabasca,CA,54.72,-113.29,72.75,57,96,6.87,overcast clouds
334,Rio Gallegos,AR,-51.62,-69.22,44.6,70,100,17.22,overcast clouds
335,Grand Gaube,MU,-20.01,57.66,70.0,59,0,3.0,clear sky
336,Dongli,CN,23.57,116.82,77.0,94,26,2.24,scattered clouds
337,Rawson,AR,-43.3,-65.1,54.09,46,0,4.45,clear sky
338,Alyangula,AU,-13.85,136.42,64.4,93,40,6.91,scattered clouds
339,Machilipatnam,IN,16.17,81.13,77.81,87,100,10.49,overcast clouds
340,Marzuq,YE,14.4,46.47,82.08,49,65,5.01,broken clouds
341,Mogadishu,SO,2.04,45.34,76.12,82,27,16.28,scattered clouds
342,Prince Albert,CA,53.2,-105.77,80.6,61,40,6.93,scattered clouds
343,Istok,XK,42.78,20.49,61.0,77,0,2.24,clear sky
344,Tasiilaq,GL,65.61,-37.64,46.4,65,0,8.05,clear sky
345,Hualmay,PE,-11.1,-77.61,62.01,78,9,10.92,clear sky
346,Wewak,PG,-3.55,143.63,81.23,75,19,6.58,few clouds
347,Lubao,PH,14.92,120.55,79.0,94,75,2.24,broken clouds
348,Luanda,AO,-8.84,13.23,71.6,88,20,6.93,few clouds
349,Waipawa,NZ,-41.41,175.52,59.0,72,51,19.46,broken clouds
350,Batagay,RU,67.63,134.63,42.94,63,0,4.23,clear sky
351,Alofi,NU,-19.06,-169.92,84.2,74,75,8.05,broken clouds
352,Fethiye,TR,36.62,29.12,84.2,39,0,10.29,clear sky
353,Sim,RU,54.99,57.7,50.43,94,100,4.59,overcast clouds
354,Deputatskiy,RU,69.3,139.9,37.38,79,86,2.04,overcast clouds
355,Lompoc,US,34.64,-120.46,68.0,64,90,14.99,haze
356,Ipora,BR,-16.44,-51.12,79.02,37,6,2.75,clear sky
357,Salaga,GH,8.55,-0.52,75.92,84,75,4.76,broken clouds
358,Siguiri,GN,11.67,-9.5,73.58,94,24,3.47,light rain
359,Richards Bay,ZA,-28.78,32.04,58.68,86,0,2.44,clear sky
360,Baghdad,IQ,33.34,44.4,80.6,32,0,8.05,clear sky
361,Gimli,CA,50.63,-96.99,90.0,99,20,7.61,few clouds
362,Huautla,MX,21.03,-98.28,85.23,63,99,1.52,overcast clouds
363,Nome,US,64.5,-165.41,64.0,76,40,11.41,scattered clouds
364,Cabo San Lucas,MX,22.89,-109.91,82.99,88,90,11.41,overcast clouds
365,Labuhan,ID,-6.88,112.21,75.49,85,2,9.86,clear sky
