City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Medvezhyegorsk,RU,2020-08-18 05:33:57,62.92,34.47,55.44,63,29,7.07
156,Dingle,PH,2020-08-18 05:33:58,11.0,122.67,84.25,79,99,9.26
157,Alice Springs,AU,2020-08-18 05:30:52,-23.7,133.88,77.0,20,0,8.05
158,Clyde River,CA,2020-08-18 05:33:12,70.47,-68.59,44.6,93,90,13.87
159,Nishihara,JP,2020-08-18 05:33:59,26.18,127.76,91.4,79,75,8.05
160,Kushmurun,KZ,2020-08-18 05:33:59,52.45,64.63,64.42,57,83,19.08
161,Boysun,UZ,2020-08-18 05:33:59,38.21,67.2,78.98,25,50,4.16
162,Baruun-Urt,MN,2020-08-18 05:33:59,46.68,113.28,59.05,67,93,11.83
163,Acarau,BR,2020-08-18 05:33:59,-2.89,-40.12,76.91,76,2,18.12
164,Nouakchott,MR,2020-08-18 05:30:26,18.09,-15.98,82.4,83,20,14.99
165,Katsuura,JP,2020-08-18 05:34:00,35.13,140.3,96.01,89,75,12.75
166,Onega,RU,2020-08-18 05:34:00,63.91,38.14,51.96,77,58,12.55
167,Lebu,CL,2020-08-18 05:34:00,-37.62,-73.65,49.05,84,100,9.22
168,Hasaki,JP,2020-08-18 05:33:43,35.73,140.83,96.01,59,40,14.99
169,Keti Bandar,PK,2020-08-18 05:34:01,24.14,67.45,86.85,77,88,11.81
170,Ushtobe,KZ,2020-08-18 05:34:01,45.25,77.98,67.86,70,100,15.1
171,Xique-Xique,BR,2020-08-18 05:34:01,-10.82,-42.73,70.56,75,0,16.75
172,Atuona,PF,2020-08-18 05:34:01,-9.8,-139.03,78.69,77,4,19.75
173,San Isidro,PE,2020-08-18 05:34:02,-12.12,-77.05,60.8,82,90,10.29
174,Castro,BR,2020-08-18 05:34:02,-24.79,-50.01,59.49,96,96,3.36
175,Saint George,US,2020-08-18 05:34:02,37.1,-113.58,93.2,7,1,4.7
176,Atambua,ID,2020-08-18 05:34:03,-9.11,124.89,83.7,46,0,1.52
177,Sola,VU,2020-08-18 05:34:03,-13.88,167.55,81.5,72,89,0.38
178,Bathsheba,BB,2020-08-18 05:34:03,13.22,-59.52,75.2,94,75,3.36
179,Batagay-Alyta,RU,2020-08-18 05:34:03,67.8,130.41,57.6,38,100,2.04
180,Saumur,FR,2020-08-18 05:34:04,47.33,-0.25,61.0,100,40,5.44
181,Ancud,CL,2020-08-18 05:34:04,-41.87,-73.82,42.01,93,90,5.82
182,Dubti,ET,2020-08-18 05:34:04,11.74,41.09,93.4,41,60,14.81
183,Shimoda,JP,2020-08-18 05:34:04,34.67,138.95,87.8,74,75,12.75
184,Chama,CH,2020-08-18 05:34:04,47.18,8.46,61.0,93,20,1.12
185,Necochea,AR,2020-08-18 05:34:05,-38.55,-58.74,44.01,71,0,8.99
