City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Port Moresby,PG,75.97,broken clouds,-9.44,147.18,Lamana Hotel
544,Shimoda,JP,86.0,few clouds,34.67,138.95,Shimoda Tokyu Hotel
545,Hongjiang,CN,75.15,light rain,27.11,110.0,洪江大酒店
547,Altea,ES,79.0,few clouds,38.6,-0.05,Albir Playa Hotel & Spa
553,Fukue,JP,82.4,few clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
554,Bossier City,US,89.6,scattered clouds,32.52,-93.73,Horseshoe Bossier City
556,Eydhafushi,MV,82.92,overcast clouds,5.1,73.07,Soneva Fushi
559,Mitsamiouli,KM,76.21,broken clouds,-11.38,43.28,Foyer ADM
564,Shingu,JP,86.0,few clouds,33.73,135.98,Shingu UI Hotel
566,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
570,Ruwi,OM,86.0,overcast clouds,23.6,58.55,Al Falaj Hotel
574,Upata,VE,84.99,few clouds,8.01,-62.4,Posada Villa Nela
580,Bintulu,MY,75.2,few clouds,3.17,113.03,900 Boutique INN
582,Masuda,JP,80.6,mist,34.67,131.85,Masuda Green Hotel Morris
584,Warwick,US,77.0,broken clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
588,Port Maria,JM,79.0,light rain,18.37,-76.89,Galina Breeze Hotel
594,Gonaives,HT,83.57,light rain,19.45,-72.68,Vertières Doux Séjour
602,Palembang,ID,75.2,few clouds,-2.92,104.75,Aston Palembang Hotel & Conference Center
604,Hadejia,NG,77.49,overcast clouds,12.45,10.04,Access
608,Delijan,IR,78.48,clear sky,33.99,50.68,ایزوگام آسیاگستردلیجان
610,Half Moon Bay,US,82.4,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
612,Griffith,US,84.0,clear sky,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
615,Tefe,BR,87.8,scattered clouds,-3.35,-64.71,Aracati Hotel
618,San Sebastian,ES,75.2,broken clouds,43.31,-1.98,Hotel de Londres y de Inglaterra
623,Lishui,CN,77.29,overcast clouds,28.46,119.91,Bayi Hotel
626,Garowe,SO,77.95,scattered clouds,8.41,48.48,Curubo Hotel
632,Balve,DE,79.0,scattered clouds,51.33,7.87,Hof Otte-Wiese
633,Karaton,ID,77.0,few clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
634,Roma,US,75.2,clear sky,43.21,-75.46,Wingate By Wyndham Rome
635,Kalloni,GR,77.0,clear sky,39.23,26.21,Imerti Resort Hotel
639,Waddan,LY,76.33,clear sky,29.16,16.14,محل الشريف محمد العايب
640,Tazmalt,DZ,77.0,broken clouds,36.39,4.4,Hôtel Numédia
644,Lamu,KE,75.18,broken clouds,-2.27,40.9,Lamu House
649,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
651,Mayo,US,80.01,clear sky,38.89,-76.51,Resorts Resource Group International
655,Mandera,KE,77.14,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
656,Olinda,BR,75.2,light rain,-8.01,-34.86,Hotel 5 Sóis
657,Gigmoto,PH,80.94,overcast clouds,13.78,124.39,Cj's Travellers Inn
663,Sao Jose Da Coroa Grande,BR,75.81,light rain,-8.9,-35.15,Crôa Mares Hotel
668,Pochutla,MX,84.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
669,Lewistown,US,82.4,clear sky,40.6,-77.57,Quality Inn & Suites
671,Bubaque,GW,79.86,moderate rain,11.28,-15.83,Casa Dora
673,Tarsus,TR,78.8,scattered clouds,36.92,34.88,Osmanli Marco Pasha Hotel
675,Miandrivazo,MG,75.07,broken clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
676,Vaitape,PF,78.31,scattered clouds,-16.52,-151.75,Conrad Bora Bora Nui
678,Kabinda,CD,75.31,few clouds,-6.13,24.48,Village Mianda Mutole
679,Nueva Concepcion,GT,77.0,thunderstorm with rain,14.2,-91.3,Hotel Villa Las Flores
683,Andros Town,BS,86.0,scattered clouds,24.7,-77.77,Hanks place
685,Grand Island,US,87.01,clear sky,40.92,-98.34,Fairfield Inn & Suites by Marriott Grand Island
688,Khuzdar,PK,80.87,scattered clouds,27.74,66.64,jhalwan Rent A Car Compny Moola Chotok
690,Suba,PH,83.21,overcast clouds,10.84,121.01,Casita Bed and Grill
693,Sungai Besar,MY,78.01,few clouds,3.67,100.99,NIDA Rooms Sabak Bernam Comfort
694,Pangai,TO,78.8,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
696,Padang,ID,78.33,scattered clouds,-0.95,100.35,Mercure Padang
